Ontario,Ontario,Guelph,17335,141860,31,27,27,15,79,33,8,36420,35514508,5835892,6328283,9788904,37819131,14141167,20659521,10938296,4012913,22091116,4251791,-2.3,-6.3,-2.8,4.4,-2.8,2.2,-9,-0.1,3.7,4.7,8.8,3.5,-2.7,-1.4,-5.5,-3.7
Ontario,Ontario,London,17335,463390,31,26,27,16,76,30,6,32070,35514508,5835892,6328283,9788904,37819131,14141167,20659521,10938296,4012913,22091116,4251791,-2.3,-6.3,-2.8,4.4,-2.8,2.2,-9,-0.1,3.7,4.7,8.8,3.5,-2.7,-1.4,-5.5,-3.7
Ontario,Ontario,Windsor,17335,323320,32,25,28,16,74,29,5,30800,35514508,5835892,6328283,9788904,37819131,14141167,20659521,10938296,4012913,22091116,4251791,-2.3,-6.3,-2.8,4.4,-2.8,2.2,-9,-0.1,3.7,4.7,8.8,3.5,-2.7,-1.4,-5.5,-3.7
Ontario,Ontario,Barrie,17335,186360,34,26,27,13,77,32,6,32800,35514508,5835892,6328283,9788904,37819131,14141167,20659521,10938296,4012913,22091116,4251791,-2.3,-6.3,-2.8,4.4,-2.8,2.2,-9,-0.1,3.7,4.7,8.8,3.5,-2.7,-1.4,-5.5,-3.7
Ontario,Ontario,GreaterSudburyGrandSudbury,17335,157250,30,25,29,17,79,34,9,36160,35514508,5835892,6328283,9788904,37819131,14141167,20659521,10938296,4012913,22091116,4251791,-2.3,-6.3,-2.8,4.4,-2.8,2.2,-9,-0.1,3.7,4.7,8.8,3.5,-2.7,-1.4,-5.5,-3.7
Ontario,Ontario,Thunder Bay,17335,117250,29,24,30,18,79,32,6,34370,35514508,5835892,6328283,9788904,37819131,14141167,20659521,10938296,4012913,22091116,4251791,-2.3,-6.3,-2.8,4.4,-2.8,2.2,-9,-0.1,3.7,4.7,8.8,3.5,-2.7,-1.4,-5.5,-3.7
Praries,Manitoba ,Winnipeg,12667,728760,32,27,27,15,78,29,5,32670,3858815,533783,560194,1171204,3932963,969757,2402545,659788,371846,2503367,393213,-5.3,-4.4,-4.9,10.7,3,1.4,-1.6,1.2,-13.6,-14.4,5.1,4.8,2.3,3.4,7,-0.3
Praries,Saskatchewan,Regina,12667,218730,32,29,26,13,83,38,10,39230,4544743,496636,558027,1433551,3361216,941860,2926062,615314,337500,2542430,344159,-10.3,4.1,8.5,4.3,-6.4,-4.1,-6.7,8.8,-3.1,15.9,7.2,0.5,-3.5,2.8,-1.2,1.3
Praries,Saskatchewan,Saskatoon,12667,266670,33,30,25,12,81,36,9,37390,4544743,496636,558027,1433551,3361216,941860,2926062,615314,337500,2542430,344159,-10.3,4.1,8.5,4.3,-6.4,-4.1,-6.7,8.8,-3.1,15.9,7.2,0.5,-3.5,2.8,-1.2,1.3
Praries,Alberta,Calgary,12667,1260180,32,33,26,10,80,41,15,40480,19229547,2319124,2568040,3711937,13603878,3770312,9750045,4024933,2004577,8649140,1800006,2.7,-2.9,-4,4.8,7.3,-6,21.5,-2.2,-2.2,5.3,5,10.9,2.8,4.4,6.3,-2.5
Praries,Alberta,Edmonton,12667,1176150,32,31,25,12,82,41,12,40400,19229547,2319124,2568040,3711937,13603878,3770312,9750045,4024933,2004577,8649140,1800006,2.7,-2.9,-4,4.8,7.3,-6,21.5,-2.2,-2.2,5.3,5,10.9,2.8,4.4,6.3,-2.5
British Columbia,British Columbia,Kelowna,5829,176440,27,24,29,20,78,29,6,31470,12990557,2019001,2413636,3044569,15707004,4275573,7357434,3853485,1530216,7082059,1901249,5.6,-3,0,1.1,-3.4,0.2,-0.6,-2.3,-2,9.1,0.3,-1.2,1.6,9.7,-17.8,9.1
British Columbia,British Columbia,Abbotsford,5829,166950,33,27,26,15,74,25,4,27500,12990557,2019001,2413636,3044569,15707004,4275573,7357434,3853485,1530216,7082059,1901249,5.6,-3,0,1.1,-3.4,0.2,-0.6,-2.3,-2,9.1,0.3,-1.2,1.6,9.7,-17.8,9.1
British Columbia,British Columbia,Vancouver,5829,2287620,28,29,29,14,73,29,14,29120,12990557,2019001,2413636,3044569,15707004,4275573,7357434,3853485,1530216,7082059,1901249,5.6,-3,0,1.1,-3.4,0.2,-0.6,-2.3,-2,9.1,0.3,-1.2,1.6,9.7,-17.8,9.1
British Columbia,British Columbia,Victoria,5829,328140,25,26,30,20,80,33,7,35280,12990557,2019001,2413636,3044569,15707004,4275573,7357434,3853485,1530216,7082059,1901249,5.6,-3,0,1.1,-3.4,0.2,-0.6,-2.3,-2,9.1,0.3,-1.2,1.6,9.7,-17.8,9.1
